2023-03-16 14:26:14 | INFO    | __main__                     | optimize             |   76 | Solving MILP ...
2023-03-16 14:26:14 | DEBUG   | module.core.Optimizer        | solve_milp           |  107 |  - defining MILP
2023-03-16 14:26:14 | DEBUG   | module.core.Optimizer        | solve_milp           |  110 |  - actually solving MILP
2023-03-16 14:26:14 | INFO    | __main__                     | optimize             |   78 | Solving MILP ... OK! (0.061s)
2023-03-16 14:26:14 | INFO    | __main__                     | optimize             |   81 | Generating outputs ...
2023-03-16 14:26:14 | INFO    | __main__                     | optimize             |   83 | Generating outputs ... OK! (0.003s)
2023-03-16 14:26:14 | WARNING | __main__                     | <module>             |  191 | Optimal
2023-03-16 14:26:14 | INFO    | __main__                     | <module>             |  219 |  * Day 1 of 1 ... OK! (-0.076s) * 
2023-03-16 14:45:10 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-16 14:45:10 | INFO    | __main__                     | read_data            |   54 | Reading and parsing forecasts ... OK! (0.014s)
2023-03-16 14:45:10 | INFO    | __main__                     | <module>             |  115 |  * Day 1 of 1 ... * 
2023-03-16 14:45:10 | INFO    | __main__                     | optimize             |   70 | Configuring data for MILP...
2023-03-16 14:45:10 | DEBUG   | module.tasks.BESS            | configure            |   42 | Configuring BESS asset ...
2023-03-16 14:45:10 | DEBUG   | module.tasks.BESS            | configure            |   47 |  - parsing DC-side parameters
2023-03-16 14:45:10 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP ... OK! (0.000s)
2023-03-16 14:45:10 | INFO    | __main__                     | optimize             |   76 | Solving MILP ...
2023-03-16 14:45:10 | DEBUG   | module.core.Optimizer        | solve_milp           |  107 |  - defining MILP
2023-03-16 14:45:10 | DEBUG   | module.core.Optimizer        | solve_milp           |  110 |  - actually solving MILP
2023-03-16 14:45:11 | INFO    | __main__                     | optimize             |   78 | Solving MILP ... OK! (0.066s)
2023-03-16 14:45:11 | INFO    | __main__                     | optimize             |   81 | Generating outputs ...
2023-03-16 14:45:11 | INFO    | __main__                     | optimize             |   83 | Generating outputs ... OK! (0.003s)
2023-03-16 14:45:11 | WARNING | __main__                     | <module>             |  191 | Optimal
2023-03-16 14:45:11 | INFO    | __main__                     | <module>             |  219 |  * Day 1 of 1 ... OK! (-0.084s) * 
2023-03-16 14:59:06 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-16 14:59:06 | INFO    | __main__                     | read_data            |   54 | Reading and parsing forecasts ... OK! (0.014s)
2023-03-16 14:59:06 | INFO    | __main__                     | <module>             |  115 |  * Day 1 of 1 ... * 
2023-03-16 14:59:06 | INFO    | __main__                     | optimize             |   70 | Configuring data for MILP...
2023-03-16 14:59:06 | DEBUG   | module.tasks.BESS            | configure            |   42 | Configuring BESS asset ...
2023-03-16 14:59:06 | DEBUG   | module.tasks.BESS            | configure            |   47 |  - parsing DC-side parameters
2023-03-16 14:59:06 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP ... OK! (0.001s)
2023-03-16 14:59:06 | INFO    | __main__                     | optimize             |   76 | Solving MILP ...
2023-03-16 14:59:06 | DEBUG   | module.core.Optimizer        | solve_milp           |  107 |  - defining MILP
2023-03-16 14:59:06 | DEBUG   | module.core.Optimizer        | solve_milp           |  110 |  - actually solving MILP
2023-03-16 14:59:06 | INFO    | __main__                     | optimize             |   78 | Solving MILP ... OK! (0.067s)
2023-03-16 14:59:06 | INFO    | __main__                     | optimize             |   81 | Generating outputs ...
2023-03-16 14:59:06 | INFO    | __main__                     | optimize             |   83 | Generating outputs ... OK! (0.003s)
2023-03-16 14:59:06 | WARNING | __main__                     | <module>             |  191 | Optimal
2023-03-16 14:59:06 | INFO    | __main__                     | <module>             |  219 |  * Day 1 of 1 ... OK! (-0.083s) * 
2023-03-17 10:32:32 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-17 10:32:32 | INFO    | __main__                     | read_data            |   54 | Reading and parsing forecasts ... OK! (0.039s)
2023-03-17 10:32:32 | INFO    | __main__                     | <module>             |  115 |  * Day 1 of 1 ... * 
2023-03-17 10:32:32 | INFO    | __main__                     | optimize             |   70 | Configuring data for MILP...
2023-03-17 10:32:32 | DEBUG   | module.tasks.BESS            | configure            |   42 | Configuring BESS asset ...
2023-03-17 10:32:32 | DEBUG   | module.tasks.BESS            | configure            |   47 |  - parsing DC-side parameters
2023-03-17 10:32:32 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP ... OK! (0.001s)
2023-03-17 10:32:32 | INFO    | __main__                     | optimize             |   76 | Solving MILP ...
2023-03-17 10:32:32 | DEBUG   | module.core.Optimizer        | solve_milp           |  107 |  - defining MILP
2023-03-17 10:32:32 | DEBUG   | module.core.Optimizer        | solve_milp           |  110 |  - actually solving MILP
2023-03-17 10:32:32 | INFO    | __main__                     | optimize             |   78 | Solving MILP ... OK! (0.368s)
2023-03-17 10:32:32 | INFO    | __main__                     | optimize             |   81 | Generating outputs ...
2023-03-17 10:32:32 | INFO    | __main__                     | optimize             |   83 | Generating outputs ... OK! (0.009s)
2023-03-17 10:32:32 | WARNING | __main__                     | <module>             |  191 | Optimal
2023-03-17 10:32:32 | INFO    | __main__                     | <module>             |  219 |  * Day 1 of 1 ... OK! (-0.411s) * 
