;DateTime;Price
396;2023-09-02 10:00:00;91.62
397;2023-09-02 11:00:00;90.51
398;2023-09-02 12:00:00;89.98
399;2023-09-02 13:00:00;92.32
400;2023-09-02 14:00:00;93.97
401;2023-09-02 15:00:00;94.36
402;2023-09-02 16:00:00;95.51
403;2023-09-02 17:00:00;124.40
404;2023-09-02 18:00:00;132.25
405;2023-09-02 19:00:00;136.01
406;2023-09-02 20:00:00;134.60
407;2023-09-02 21:00:00;132.25
408;2023-09-03 22:00:00;129.40
409;2023-09-03 23:00:00;123.02
410;2023-09-04 00:00:00;119.96
411;2023-09-04 01:00:00;113.21
412;2023-09-04 02:00:00;113.21
413;2023-09-04 03:00:00;113.21
414;2023-09-04 04:00:00;120.00
415;2023-09-04 05:00:00;117.43
416;2023-09-04 06:00:00;110.00
417;2023-09-04 07:00:00;106.81
418;2023-09-04 08:00:00;95.85
419;2023-09-04 09:00:00;89.05
420;2023-09-04 10:00:00;86.28
421;2023-09-04 11:00:00;82.85
422;2023-09-04 12:00:00;84.16
423;2023-09-04 13:00:00;85.49
424;2023-09-04 14:00:00;85.71
425;2023-09-04 15:00:00;86.76
426;2023-09-04 16:00:00;89.05
427;2023-09-04 17:00:00;119.32
428;2023-09-04 18:00:00;123.00
429;2023-09-04 19:00:00;130.00
430;2023-09-04 20:00:00;130.52
431;2023-09-04 21:00:00;129.01
432;2023-09-05 22:00:00;123.12
433;2023-09-05 23:00:00;121.32
434;2023-09-06 00:00:00;117.62
435;2023-09-06 01:00:00;112.76
436;2023-09-06 02:00:00;112.76
437;2023-09-06 03:00:00;117.62
438;2023-09-06 04:00:00;120.34
439;2023-09-06 05:00:00;121.32
440;2023-09-06 06:00:00;122.84
441;2023-09-06 07:00:00;112.76
442;2023-09-06 08:00:00;89.05
443;2023-09-06 09:00:00;85.01
444;2023-09-06 10:00:00;84.76
445;2023-09-06 11:00:00;84.91
446;2023-09-06 12:00:00;84.76
447;2023-09-06 13:00:00;85.01
448;2023-09-06 14:00:00;84.91
449;2023-09-06 15:00:00;86.32
450;2023-09-06 16:00:00;98.72
451;2023-09-06 17:00:00;122.50
452;2023-09-06 18:00:00;134.60
453;2023-09-06 19:00:00;140.36
454;2023-09-06 20:00:00;138.41
455;2023-09-06 21:00:00;134.60
456;2023-09-07 22:00:00;133.46
457;2023-09-07 23:00:00;131.75
458;2023-09-08 00:00:00;131.18
459;2023-09-08 01:00:00;129.78
460;2023-09-08 02:00:00;129.95
461;2023-09-08 03:00:00;129.78
462;2023-09-08 04:00:00;129.78
463;2023-09-08 05:00:00;122.01
464;2023-09-08 06:00:00;113.50
465;2023-09-08 07:00:00;99.00
466;2023-09-08 08:00:00;87.00
467;2023-09-08 09:00:00;83.71
468;2023-09-08 10:00:00;82.92
469;2023-09-08 11:00:00;83.71
470;2023-09-08 12:00:00;84.30
471;2023-09-08 13:00:00;82.92
472;2023-09-08 14:00:00;82.50
473;2023-09-08 15:00:00;94.00
474;2023-09-08 16:00:00;112.00
475;2023-09-08 17:00:00;128.80
476;2023-09-08 18:00:00;136.90
477;2023-09-08 19:00:00;139.54
478;2023-09-08 20:00:00;134.60
479;2023-09-08 21:00:00;132.97
480;2023-09-09 22:00:00;125.86
481;2023-09-09 23:00:00;118.81
482;2023-09-10 00:00:00;108.00
483;2023-09-10 01:00:00;100.32
484;2023-09-10 02:00:00;99.32
485;2023-09-10 03:00:00;110.00
486;2023-09-10 04:00:00;121.00
487;2023-09-10 05:00:00;132.32
488;2023-09-10 06:00:00;133.31
489;2023-09-10 07:00:00;115.00
490;2023-09-10 08:00:00;103.99
491;2023-09-10 09:00:00;101.51
492;2023-09-10 10:00:00;101.10
493;2023-09-10 11:00:00;101.10
494;2023-09-10 12:00:00;97.51
495;2023-09-10 13:00:00;97.09
496;2023-09-10 14:00:00;101.08
497;2023-09-10 15:00:00;118.71
498;2023-09-10 16:00:00;126.22
499;2023-09-10 17:00:00;136.76
500;2023-09-10 18:00:00;149.58
501;2023-09-10 19:00:00;149.30
502;2023-09-10 20:00:00;136.01
503;2023-09-10 21:00:00;130.00
504;2023-09-11 22:00:00;136.01
505;2023-09-11 23:00:00;131.26
506;2023-09-12 00:00:00;111.60
